OP_ID,GN_EFFORT_ID,OP_DATE,MESH_SIZE,BEG_DEPTH,END_DEPTH,LAT,LON,NIGHTS_OUT,N.PANEL
100828,43133,10/23/1930,23,60.4,60.4,42.1306,-86.7028,8,1
100829,43134,10/23/1930,24,60.4,60.4,42.1306,-86.7028,8,1
100830,43135,10/23/1930,25,60.4,60.4,42.1306,-86.7028,8,1
100831,43136,10/23/1930,26,60.4,60.4,42.1306,-86.7028,8,1
100832,43137,10/23/1930,30,60.4,60.4,42.1306,-86.7028,8,1
100834,43139,10/23/1930,24,80.5,80.5,42.1417,-86.9236,8,1
100833,43138,10/23/1930,23,80.5,80.5,42.1417,-86.9236,8,1
100835,43140,10/23/1930,25,80.5,80.5,42.1417,-86.9236,8,1
100836,43141,10/23/1930,26,80.5,80.5,42.1417,-86.9236,8,1
100837,43142,10/23/1930,30,80.5,80.5,42.1417,-86.9236,8,1
99627,43386,6/18/1931,26,51.2,54.9,42.2867,-86.6,9,1
99624,43383,6/18/1931,23,51.2,54.9,42.2867,-86.6,9,1
99625,43384,6/18/1931,24,51.2,54.9,42.2867,-86.6,9,1
99626,43385,6/18/1931,25,51.2,54.9,42.2867,-86.6,9,1
99628,43387,6/18/1931,30,51.2,54.9,42.2867,-86.6,9,1
99702,43448,7/1/1931,23,51.2,54.9,42.2867,-86.6,13,1
99703,43449,7/1/1931,24,51.2,54.9,42.2867,-86.6,13,1
99704,43450,7/1/1931,25,51.2,54.9,42.2867,-86.6,13,1
99705,43451,7/1/1931,26,51.2,54.9,42.2867,-86.6,13,1
99706,43452,7/1/1931,30,51.2,54.9,42.2867,-86.6,13,1
100926,43208,5/12/1931,23,54.9,60.4,42.2917,-86.62,11,2
100927,43209,5/12/1931,24,54.9,60.4,42.2917,-86.62,11,2
100928,43210,5/12/1931,25,54.9,60.4,42.2917,-86.62,11,2
100929,43211,5/12/1931,26,54.9,60.4,42.2917,-86.62,11,2
100930,43212,5/12/1931,30,54.9,60.4,42.2917,-86.62,11,2
100997,43268,5/27/1931,23,55.8,60.4,42.2917,-86.62,15,1
100998,43269,5/27/1931,24,55.8,60.4,42.2917,-86.62,15,1
100999,43270,5/27/1931,25,55.8,60.4,42.2917,-86.62,15,1
101000,43271,5/27/1931,26,55.8,60.4,42.2917,-86.62,15,1
101001,43272,5/27/1931,30,55.8,60.4,42.2917,-86.62,15,1
101064,43323,6/9/1931,23,55.8,60.4,42.2917,-86.62,13,1
101065,43324,6/9/1931,24,55.8,60.4,42.2917,-86.62,13,1
101066,43325,6/9/1931,25,55.8,60.4,42.2917,-86.62,13,1
101067,43326,6/9/1931,26,55.8,60.4,42.2917,-86.62,13,1
101068,43327,6/9/1931,30,55.8,60.4,42.2917,-86.62,13,1
101057,43318,6/8/1931,23,82.3,84.1,42.2933,-87.4,13,2
100990,43263,5/26/1931,23,82.3,84.1,42.2933,-87.4,15,2
100991,43264,5/26/1931,24,82.3,84.1,42.2933,-87.4,15,2
100992,43265,5/26/1931,25,82.3,84.1,42.2933,-87.4,15,2
100993,43266,5/26/1931,26,82.3,84.1,42.2933,-87.4,15,2
100994,43267,5/26/1931,30,82.3,84.1,42.2933,-87.4,15,2
101058,43319,6/8/1931,24,82.3,84.1,42.2933,-87.4,13,2
101059,43320,6/8/1931,25,82.3,84.1,42.2933,-87.4,13,2
101060,43321,6/8/1931,26,82.3,84.1,42.2933,-87.4,13,2
