"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"June",1995,53.516792,55.239956,51.389595,54.723774,54.092896,62.04276,74.32992,84.1738,86.54552,87.86946,90.55506,68.60412
"June",1996,57.073933,52.08416,53.898956,59.392002,58.1993,70.76163,80.6543,84.97722,87.54124,88.18116,87.31744,54.19711
"June",1997,48.911537,54.15362,63.82162,71.88243,78.42833,79.00654,79.05497,84.317024,88.24223,89.92976,87.847336,76.979004
"June",1998,54.1699,49.068745,52.941883,55.783123,54.372913,56.027683,68.50617,77.88728,74.57926,74.261284,65.91456,60.531494
"June",1999,58.227688,52.546513,54.120087,62.753506,71.63317,77.32186,80.52662,85.134705,87.104965,88.08168,89.92579,89.833305
"June",2000,68.50405,52.822014,53.310738,64.500946,74.81333,78.53296,80.41888,85.744606,89.2071,89.82994,90.44766,90.505516
"June",2001,80.933105,66.426155,65.054276,72.99287,79.327675,84.15773,87.74986,90.05031,92.03182,92.8599,89.72435,64.06108
"June",2002,57.228695,65.197914,67.17021,74.89278,79.94399,82.32975,85.763466,89.65054,91.46308,92.075005,90.79786,62.310944
"June",2003,55.348488,62.885895,64.92648,60.82091,60.753284,71.82414,79.57308,85.22826,86.55827,88.69187,89.70356,67.241264
"June",2004,60.125576,53.42423,56.310658,67.2162,78.74863,82.95014,83.11551,87.34805,90.076035,88.84906,89.41187,77.58781
"June",2005,59.737667,61.74583,57.81753,63.546402,56.658466,64.590324,79.76228,86.57502,87.597115,89.55553,91.276855,56.62611
"June",2006,52.477932,54.79603,52.47848,52.228313,56.211823,69.35742,79.38433,85.01259,85.60633,87.0137,89.66423,78.317604
"June",2007,80.65067,67.61381,68.46745,75.75145,79.309105,82.362144,86.45732,89.70293,89.75257,90.341,90.88367,89.144264
"June",2008,69.63265,64.29468,69.13548,76.46142,82.09476,83.90627,87.61144,91.10349,92.40457,93.99724,92.52849,91.94169
"June",2009,86.333244,67.90123,63.093212,75.01779,80.68797,80.28159,85.22713,90.434525,92.456505,92.01872,93.59104,90.59235
"June",2010,65.97475,59.04735,64.398506,63.431446,66.70616,75.24923,83.04029,85.30831,87.23998,86.45672,86.197334,56.853317
"June",2011,59.305355,59.089905,52.48459,56.384563,59.2548,60.837624,72.864456,82.99195,84.625046,83.78281,86.01939,89.8907
"June",2012,84.77697,78.175835,64.263115,64.55293,73.14985,81.1224,82.821014,86.80298,89.7787,91.79465,89.656624,58.32266
"June",2013,64.654076,67.59861,75.63023,79.11498,79.588875,82.127975,85.8837,90.296104,92.13939,92.179214,92.922874,92.18625
"June",2014,83.84815,76.4879,72.68648,78.561,86.63645,90.7474,93.297005,93.43356,93.004036,93.68305,93.07264,64.53773
"MaxDS_Even",1995,54.113415,54.750614,51.315876,54.73673,54.113045,62.11015,65.34998,65.637886,73.94124,73.94921,81.78633,70.25565
