id,label,type,x,y
1,Eggs,eggs,3,4
2,Fry,juvenile,5,3
3,Parr,juvenile,5,2
4,Age 1,adult,4,2
5,Age 2,adult,3,2
6,Age 3,adult,2,2
7,Age 4,adult,1,2
8,Ocean,steelhead,3,1
